[FAILURE] device_recid=123, host=www.google.com, date_time=2017-11-12 07:16:27 (UTC)
[FAILURE] device_recid=234, host=www.facebook.com, date_time=2017-11-12 07:16:27 (UTC)
[FAILURE] device_recid=1000, host=78A907570944.sn.mynetname.net, date_time=2017-11-12 07:16:28 (UTC)
[FAILURE] device_recid=1001, host=78A9077F9070.sn.mynetname.net, date_time=2017-11-12 07:16:28 (UTC)
[FAILURE] device_recid=1003, host=78A907F7CB17.sn.mynetname.net, date_time=2017-11-12 07:16:28 (UTC)
[FAILURE] device_recid=1002, host=78A907457024.sn.mynetname.net, date_time=2017-11-12 07:16:28 (UTC)
[FAILURE] device_recid=1008, host=78A9071CFAC4.sn.mynetname.net, date_time=2017-11-12 07:16:29 (UTC)
[FAILURE] device_recid=1009, host=78A907F8F251.sn.mynetname.net, date_time=2017-11-12 07:16:29 (UTC)
[FAILURE] device_recid=1011, host=78A90707A60F.sn.mynetname.net, date_time=2017-11-12 07:16:29 (UTC)
[FAILURE] device_recid=1007, host=78A90765364C.sn.mynetname.net, date_time=2017-11-12 07:16:30 (UTC)
[FAILURE] device_recid=1013, host=78A907FE793D.sn.mynetname.net, date_time=2017-11-12 07:16:30 (UTC)
[FAILURE] device_recid=1006, host=78A90785626E.sn.mynetname.net, date_time=2017-11-12 07:16:30 (UTC)
[FAILURE] device_recid=1012, host=78A9070931B7.sn.mynetname.net, date_time=2017-11-12 07:16:30 (UTC)
[FAILURE] device_recid=1004, host=78A9078DC78B.sn.mynetname.net, date_time=2017-11-12 07:16:31 (UTC)
[FAILURE] device_recid=1010, host=78A907D5263A.sn.mynetname.net, date_time=2017-11-12 07:16:31 (UTC)
[FAILURE] device_recid=1005, host=78A907CBDA96.sn.mynetname.net, date_time=2017-11-12 07:16:31 (UTC)
